,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0022401104,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,8.000000:08,1,4,0.25,1,2,0.5,0,0,0,0,1,1,1,0,0,2,0,3,-6
1,0022401104,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,24.000000:25,7,10,0.7,2,3,0.667,2,2,1,1,3,4,5,0,1,1,0,18,11
2,0022401104,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,32.000000:15,6,8,0.75,0,1,0,4,6,0.667,3,9,12,1,0,0,4,0,16,-15
3,0022401104,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,G,,29.000000:52,6,7,0.857,2,2,1,2,2,1,0,4,4,2,1,0,1,1,16,-4
4,0022401104,1610612766,CHA,Charlotte,1642354,KJ Simpson,KJ,G,,30.000000:35,4,10,0.4,1,4,0.25,0,0,0,0,5,5,4,0,1,1,2,9,4
5,0022401104,1610612766,CHA,Charlotte,1641878,Damion Baugh,Damion,,,17.000000:25,1,9,0.111,0,1,0,0,0,0,2,0,2,3,0,0,2,2,2,-18
6,0022401104,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,,,23.000000:53,3,7,0.429,2,4,0.5,0,0,0,0,2,2,1,0,0,3,3,8,-10
7,0022401104,1610612766,CHA,Charlotte,1642275,Tidjane Salaün,Tidjane,,,27.000000:01,3,8,0.375,1,4,0.25,0,0,0,1,4,5,2,0,0,2,2,7,-19
8,0022401104,1610612766,CHA,Charlotte,203994,Jusuf Nurkić,Jusuf,,,20.000000:26,5,6,0.833,0,1,0,3,6,0.5,1,4,5,1,0,0,2,3,13,-3
9,0022401104,1610612766,CHA,Charlotte,1629006,Josh Okogie,Josh,,,12.000000:45,2,6,0.333,1,2,0.5,0,0,0,0,1,1,0,1,0,0,1,5,-7
10,0022401104,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,13.000000:15,3,3,1,0,0,0,2,2,1,1,2,3,0,1,0,0,1,8,-3
11,0022401104,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,26.000000:20,6,12,0.5,3,9,0.333,1,1,1,2,1,3,1,1,0,0,1,16,-7
12,0022401104,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,28.000000:18,6,15,0.4,1,4,0.25,2,4,0.5,1,5,6,1,2,0,1,2,15,8
13,0022401104,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,28.000000:32,6,10,0.6,3,7,0.429,0,0,0,3,6,9,2,0,2,2,4,15,3
14,0022401104,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,28.000000:41,4,8,0.5,1,3,0.333,0,0,0,1,1,2,2,2,0,1,2,9,-4
15,0022401104,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,33.000000:46,9,15,0.6,4,6,0.667,0,0,0,0,1,1,10,2,2,0,0,22,14
16,0022401104,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,18.000000:14,3,8,0.375,1,5,0.2,1,1,1,0,4,4,1,0,1,1,2,8,7
17,0022401104,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,,22.000000:02,3,8,0.375,3,5,0.6,1,2,0.5,0,6,6,2,0,0,0,1,10,21
18,0022401104,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,19.000000:19,4,10,0.4,0,1,0,0,0,0,1,3,4,7,1,1,1,0,8,18
19,0022401104,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,,19.000000:28,5,7,0.714,1,2,0.5,2,2,1,3,0,3,1,1,0,0,2,13,11
20,0022401104,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,13.000000:52,1,2,0.5,1,2,0.5,0,0,0,0,0,0,2,1,0,0,2,3,0
21,0022401104,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,,1.000000:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
