,GAME_DATE,Heim/Auswärts,Gegner,WL,PTS,PLUS_MINUS,FG_PCT,REB,AST,STL,BLK
0,2025-04-03T00:00:00.000,Auswärts,MIA,W,110,2,47.099999999999994,49,24,8,4
1,2025-04-01T00:00:00.000,Heim,GSW,L,125,-9,47.8,43,22,7,6
2,2025-03-31T00:00:00.000,Heim,BOS,L,103,-14,44.6,45,21,9,3
3,2025-03-29T00:00:00.000,Heim,LAL,L,127,-7,52.6,41,33,7,4
4,2025-03-27T00:00:00.000,Auswärts,OKC,L,104,-21,41.8,36,28,9,4
5,2025-03-25T00:00:00.000,Auswärts,UTA,W,140,37,53.1,52,38,7,4
6,2025-03-21T00:00:00.000,Auswärts,LAC,L,108,-20,42.1,40,28,8,3
7,2025-03-19T00:00:00.000,Auswärts,POR,L,99,-16,40.2,40,23,11,4
8,2025-03-17T00:00:00.000,Auswärts,SAC,L,122,-10,48.9,48,24,8,7
9,2025-03-15T00:00:00.000,Heim,MIA,W,125,34,55.400000000000006,51,31,7,6
