,PLAYER,PTS,AST,REB,STL,BLK,MIN,Predicted Score
7,Josh Giddey,16,9.8,11.2,1.2,0.4,0,2.5874098917299557
0,Coby White,23.4,5,4.4,0.6,0,0,2.0097215956658423
11,Nikola Vučević,20.6,3.6,9.4,0.2,1.2,0,1.9514761326539785
10,Matas Buzelis,15,1.8,7.6,1,1.8,0,1.3571991197042281
6,Jevon Carter,17,3,2,0,0,0,1.3201650168518477
13,Talen Horton-Tucker,18.666666666666668,1.6666666666666667,2.6666666666666665,0.3333333333333333,0,0,1.2708419483005475
9,Kevin Huerter,13.5,3.25,3.25,0.25,0.25,0,1.2413038815066697
14,Zach Collins,7.4,2.2,5.6,0.2,0.2,0,0.9274971272177708
12,Patrick Williams,7.2,1.8,3.4,0.2,0,0,0.755417397372641
5,Jalen Smith,7,0.5,4,0.5,1,0,0.6141392467251965
1,Dalen Terry,3,2,3.5,1.25,0.25,0,0.5768553265778587
8,Julian Phillips,2.25,0.5,0.75,0.5,0,0,0.21232775202390836
3,Emanuel Miller,0,1,1,0,0,0,0.1756455636695537
2,E.J. Liddell,0,0,0,0,0,0,0
4,Jahmir Young,0,0,0,0,0,0,0
